RT(milliseconds),RT(minutes) - NOT USED BY IMPORT,RI,TIC
282400,4.706666666666667,0.0,8961.0
283200,4.72,0.0,8909.0
284000,4.733333333333333,0.0,8855.0
284800,4.746666666666667,0.0,8759.0
285600,4.76,0.0,8675.0
286400,4.773333333333333,0.0,8556.0
287200,4.786666666666667,0.0,8422.0
288000,4.8,0.0,8303.0
288800,4.8133333333333335,0.0,8178.0
289600,4.826666666666667,0.0,8039.0
290400,4.84,0.0,7901.0
291200,4.8533333333333335,0.0,7756.0
292000,4.866666666666666,0.0,7595.0
292800,4.88,0.0,7454.0
293600,4.8933333333333335,0.0,7303.0
294400,4.906666666666666,0.0,7150.0
295200,4.92,0.0,6995.0
296000,4.933333333333334,0.0,6832.0
296800,4.946666666666666,0.0,6686.0
297600,4.96,0.0,6531.0
298400,4.973333333333334,0.0,6398.0
299200,4.986666666666666,0.0,6262.0
300000,5.0,0.0,6135.0
300800,5.013333333333334,0.0,6028.0
301600,5.026666666666666,0.0,5917.0
302400,5.04,0.0,5821.0
303200,5.053333333333334,0.0,5718.0
304000,5.066666666666666,0.0,5609.0
304800,5.08,0.0,5527.0
305600,5.093333333333334,0.0,5460.0
306400,5.1066666666666665,0.0,5395.0
307200,5.12,0.0,5344.0
308000,5.133333333333334,0.0,5276.0
308800,5.1466666666666665,0.0,5195.0
309600,5.16,0.0,5137.0
310400,5.173333333333333,0.0,5100.0
311200,5.1866666666666665,0.0,5062.0
312000,5.2,0.0,5032.0
312800,5.213333333333333,0.0,4993.0
313600,5.226666666666667,0.0,4936.0
314400,5.24,0.0,4914.0
315200,5.253333333333333,0.0,4926.0
316000,5.266666666666667,0.0,4984.0
316800,5.28,0.0,5145.0
317600,5.293333333333333,0.0,5485.0
318400,5.306666666666667,0.0,6249.0
319200,5.32,0.0,8195.0
320000,5.333333333333333,0.0,13266.0
320800,5.346666666666667,0.0,22923.0
321600,5.36,0.0,36058.0
322400,5.373333333333333,0.0,49530.0
323200,5.386666666666667,0.0,58821.0
324000,5.4,0.0,60766.0
324800,5.413333333333333,0.0,56042.0
325600,5.426666666666667,0.0,47464.0
326400,5.44,0.0,38162.0
327200,5.453333333333333,0.0,30246.0
328000,5.466666666666667,0.0,24263.0
328800,5.48,0.0,19991.0
329600,5.493333333333333,0.0,16991.0
330400,5.506666666666667,0.0,14871.0
331200,5.52,0.0,13331.0
332000,5.533333333333333,0.0,12184.0
332800,5.546666666666667,0.0,11304.0
333600,5.56,0.0,10597.0
334400,5.573333333333333,0.0,10021.0
335200,5.586666666666667,0.0,9568.0
336000,5.6,0.0,9208.0
336800,5.613333333333333,0.0,8931.0
337600,5.626666666666667,0.0,8710.0
338400,5.64,0.0,8533.0
339200,5.653333333333333,0.0,8391.0
340000,5.666666666666667,0.0,8279.0
340800,5.68,0.0,8175.0
341600,5.693333333333333,0.0,8087.0
342400,5.706666666666667,0.0,8016.0
343200,5.72,0.0,7919.0
344000,5.733333333333333,0.0,7837.0
344800,5.746666666666667,0.0,7717.0
345600,5.76,0.0,7604.0
346400,5.773333333333333,0.0,7517.0
347200,5.786666666666667,0.0,7427.0
348000,5.8,0.0,7372.0
348800,5.8133333333333335,0.0,7309.0
349600,5.826666666666667,0.0,7246.0
350400,5.84,0.0,7236.0
351200,5.8533333333333335,0.0,7246.0
352000,5.866666666666666,0.0,7282.0
352800,5.88,0.0,7360.0
353600,5.8933333333333335,0.0,7432.0
354400,5.906666666666666,0.0,7522.0
